File Exported by Q - (c) 2009 Affectiva Inc.
File Version: 1.01
Firmware Version: 1.81
UUID: AFQ00000000
Sampling Rate: 32
Start Time: 2016-07-14 12:22:00 Offset:-07
Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
---------------------------------------------------------
12:22:00.000,0.200,0.100,-1.030,-1,24.700,0.000,0
12:22:00.031,0.240,0.040,-1.050,-1,24.500,0.000,1
12:22:00.062,0.210,0.080,-1.010,-1,24.700,0.000,0
12:22:00.093,0.200,0.120,-1.010,-1,24.500,0.000,0
12:22:00.125,0.200,0.110,-1.000,-1,24.500,0.000,0
12:22:00.156,0.200,0.100,-0.980,-1,24.500,0.000,0
12:22:00.187,0.210,0.100,-0.970,-1,24.500,0.000,0
12:22:00.218,0.210,0.120,-0.990,-1,24.700,0.000,0
12:22:00.250,0.080,0.120,-1.000,-1,24.500,0.000,0
12:22:00.281,0.210,0.130,-1.050,-1,24.500,0.000,0
12:22:00.312,0.220,0.140,-0.980,-1,24.500,0.000,0
12:22:00.343,0.190,0.140,-1.000,-1,24.500,0.000,0
12:22:00.375,0.240,0.140,-1.000,-1,24.500,0.000,0
12:22:00.406,0.190,0.210,-1.000,-1,24.500,0.000,0
12:22:00.437,0.220,0.200,-1.010,-1,24.500,0.014,0
12:22:00.468,0.250,0.110,-1.000,-1,24.500,0.089,0
12:22:00.500,0.230,0.130,-0.980,-1,24.700,0.181,0
12:22:00.531,0.210,0.130,-0.960,-1,24.700,0.268,0
12:22:00.562,0.170,0.140,-1.000,-1,24.700,0.364,0
12:22:00.593,0.150,0.190,-1.030,-1,24.700,0.458,0
12:22:00.625,0.150,0.160,-1.020,-1,24.500,0.534,0
12:22:00.656,0.190,0.170,-0.970,-1,24.500,0.591,0
12:22:00.687,0.150,0.140,-1.020,-1,24.500,0.639,0
12:22:00.718,0.190,0.130,-0.940,-1,24.500,0.679,0
12:22:00.750,0.140,0.220,-0.960,-1,24.700,0.715,0
12:22:00.781,0.170,0.250,-0.980,-1,24.700,0.763,0
12:22:00.812,0.150,0.280,-0.960,-1,24.700,0.810,0
12:22:00.843,0.120,0.330,-0.990,-1,24.700,0.856,0
12:22:00.875,0.090,0.360,-1.000,-1,24.500,0.886,0
12:22:00.906,0.090,0.400,-1.000,-1,24.500,0.903,0
12:22:00.937,0.110,0.370,-0.920,-1,24.700,0.923,0
12:22:00.968,0.150,0.300,-0.980,-1,24.500,0.943,0
12:22:01.000,0.150,0.310,-0.980,-1,24.500,0.952,0
12:22:01.031,0.150,0.330,-0.950,-1,24.500,0.955,0
12:22:01.062,0.160,0.300,-0.960,-1,24.700,0.955,0
12:22:01.093,0.160,0.250,-0.960,-1,24.500,0.952,0
12:22:01.125,0.150,0.270,-0.940,-1,24.500,0.952,0
12:22:01.156,0.160,0.250,-0.910,-1,24.700,0.943,0
12:22:01.187,0.180,0.270,-0.960,-1,24.500,0.931,0
12:22:01.218,0.200,0.310,-1.000,-1,24.500,0.889,0
12:22:01.250,0.200,0.330,-0.980,-1,24.500,0.836,0
12:22:01.281,0.190,0.330,-0.960,-1,24.700,0.778,0
12:22:01.312,0.200,0.340,-0.980,-1,24.500,0.709,0
12:22:01.343,0.200,0.290,-0.950,-1,24.500,0.663,0
12:22:01.375,0.220,0.280,-0.960,-1,24.500,0.640,0
12:22:01.406,0.210,0.290,-0.970,-1,24.700,0.621,0
12:22:01.437,0.210,0.300,-0.950,-1,24.500,0.603,0
12:22:01.468,0.200,0.300,-0.950,-1,24.500,0.599,0
12:22:01.500,0.210,0.330,-0.960,-1,24.500,0.599,0
12:22:01.531,0.200,0.320,-0.950,-1,24.700,0.599,0
12:22:01.562,0.210,0.320,-0.940,-1,24.500,0.603,0
12:22:01.593,0.220,0.330,-0.960,-1,24.500,0.602,0
12:22:01.625,0.220,0.330,-0.950,-1,24.700,0.606,0
12:22:01.656,0.210,0.310,-0.960,-1,24.500,0.610,0
12:22:01.687,0.220,0.310,-0.940,-1,24.500,0.610,0
12:22:01.718,0.220,0.300,-0.950,-1,24.500,0.610,0
12:22:01.750,0.210,0.330,-0.950,-1,24.700,0.613,0
12:22:01.781,0.210,0.320,-0.940,-1,24.500,0.613,0
12:22:01.812,0.210,0.330,-0.930,-1,24.500,0.620,0
12:22:01.843,0.220,0.320,-0.940,-1,24.700,0.620,0
12:22:01.875,0.220,0.310,-0.930,-1,24.700,0.622,0
12:22:01.906,0.220,0.320,-0.970,-1,24.500,0.626,0
12:22:01.937,0.210,0.320,-0.950,-1,24.500,0.631,0
12:22:01.968,0.220,0.310,-0.940,-1,24.700,0.633,0
12:22:02.000,0.220,0.300,-0.960,-1,24.500,0.638,0
12:22:02.031,0.220,0.300,-0.950,-1,24.500,0.645,0
12:22:02.062,0.220,0.310,-0.960,-1,24.700,0.645,0
12:22:02.093,0.220,0.310,-0.950,-1,24.500,0.648,0
12:22:02.125,0.220,0.320,-0.950,-1,24.700,0.648,0
12:22:02.156,0.210,0.300,-0.950,-1,24.500,0.652,0
12:22:02.187,0.220,0.310,-0.950,-1,24.700,0.652,0
12:22:02.218,0.220,0.320,-0.950,-1,24.700,0.652,0
12:22:02.250,0.220,0.320,-0.950,-1,24.700,0.656,0
12:22:02.281,0.230,0.310,-0.950,-1,24.500,0.659,0
12:22:02.312,0.230,0.290,-0.930,-1,24.500,0.659,0
12:22:02.343,0.230,0.310,-0.940,-1,24.700,0.659,0
12:22:02.375,0.220,0.310,-0.970,-1,24.700,0.662,0
12:22:02.406,0.220,0.300,-0.930,-1,24.500,0.662,0
12:22:02.437,0.220,0.310,-0.950,-1,24.500,0.666,0
12:22:02.468,0.220,0.320,-0.950,-1,24.500,0.666,0
12:22:02.500,0.210,0.320,-0.940,-1,24.700,0.669,0
12:22:02.531,0.220,0.320,-0.940,-1,24.500,0.669,0
12:22:02.562,0.230,0.310,-0.940,-1,24.500,0.673,0
12:22:02.593,0.220,0.300,-0.950,-1,24.500,0.673,0
12:22:02.625,0.220,0.310,-0.960,-1,24.500,0.673,0
12:22:02.656,0.220,0.310,-0.950,-1,24.700,0.673,0
12:22:02.687,0.220,0.310,-0.950,-1,24.500,0.681,0
12:22:02.718,0.230,0.310,-0.950,-1,24.500,0.681,0
12:22:02.750,0.220,0.310,-0.940,-1,24.500,0.681,0
12:22:02.781,0.220,0.310,-0.950,-1,24.700,0.688,0
12:22:02.812,0.220,0.320,-0.940,-1,24.700,0.688,0
12:22:02.843,0.210,0.310,-0.940,-1,24.500,0.691,0
12:22:02.875,0.220,0.300,-0.960,-1,24.500,0.691,0
12:22:02.906,0.220,0.290,-0.950,-1,24.500,0.695,0
12:22:02.937,0.220,0.310,-0.960,-1,24.500,0.691,0
12:22:02.968,0.220,0.320,-0.960,-1,24.700,0.695,0
