Dataset Events,,,,,,,
Dataset,Marked on Device,Note,Start,End,trial,,
P24,TRUE,,14:30:40,N/A,,start,
P24,TRUE,,14:31:10,N/A,1,,
P24,TRUE,,14:31:16,N/A,1,,
P24,TRUE,,14:31:18,N/A,1,,
P24,TRUE,,14:31:25,N/A,2,,
P24,TRUE,,14:31:29,N/A,2,,
P24,TRUE,,14:31:32,N/A,2,,
P24,TRUE,,14:31:39,N/A,3,,
P24,TRUE,,14:31:41,N/A,3,,
P24,TRUE,,14:31:44,N/A,3,,
P24,TRUE,,14:31:50,N/A,4,,
P24,TRUE,,14:31:53,N/A,4,,
P24,TRUE,,14:31:56,N/A,4,,
P24,TRUE,,14:32:02,N/A,5,,
P24,TRUE,,14:32:04,N/A,5,,
P24,TRUE,,14:32:07,N/A,5,,
P24,TRUE,,14:32:14,N/A,6,,
P24,TRUE,,14:32:17,N/A,6,,
P24,TRUE,,14:32:19,N/A,6,,
P24,TRUE,,14:32:26,N/A,7,,
P24,TRUE,,14:32:29,N/A,7,,
P24,TRUE,,14:32:31,N/A,7,,
P24,TRUE,,14:32:37,N/A,8,,
P24,TRUE,,14:32:40,N/A,8,,
P24,TRUE,,14:32:42,N/A,8,,
P24,TRUE,,14:32:48,N/A,9,,
P24,TRUE,,14:32:50,N/A,9,,
P24,TRUE,,14:32:53,N/A,9,,
P24,TRUE,,14:32:59,N/A,10,,
P24,TRUE,,14:33:01,N/A,10,,
P24,TRUE,,14:33:04,N/A,10,,
,,,14:33:11,,11,oops,
P24,TRUE,,14:33:14,N/A,11,,
P24,TRUE,,14:33:16,N/A,11,,
P24,TRUE,,14:33:24,N/A,12,,
P24,TRUE,,14:33:26,N/A,12,,
,,,14:33:29,,12,oops,
P24,TRUE,,14:33:34,N/A,13,,
P24,TRUE,,14:33:37,N/A,13,,
P24,TRUE,,14:33:40,N/A,13,,
,,,14:33:46,,14,,
P24,TRUE,,14:33:49,N/A,14,,
P24,TRUE,,14:33:51,N/A,14,,
P24,TRUE,,14:33:58,N/A,15,,
P24,TRUE,,14:34:01,N/A,15,,
,,,14:34:04,,15,,
P24,TRUE,,14:34:09,N/A,16,,
P24,TRUE,,14:34:12,N/A,16,,
P24,TRUE,,14:34:15,N/A,16,,
,,,14:34:21,,17,oops,
P24,TRUE,,14:34:24,N/A,17,,
P24,TRUE,,14:34:26,N/A,17,,
P24,TRUE,,14:34:32,N/A,18,,
,,,14:34:39,,18,,
P24,TRUE,,14:34:41,N/A,18,,
P24,TRUE,,14:34:48,N/A,19,,
P24,TRUE,,14:34:51,N/A,19,, 
P24,TRUE,,14:34:54,N/A,19,,
P24,TRUE,,14:35:00,N/A,20,,
P24,TRUE,,14:35:03,N/A,20,,
P24,TRUE,,14:35:06,N/A,20,,
P24,TRUE,,14:35:12,N/A,21,,
,,,14:35:15,,21,oops,
P24,TRUE,,14:35:17,N/A,21,,
P24,TRUE,,14:35:23,N/A,22,,
P24,TRUE,,14:35:26,N/A,22,,
P24,TRUE,,14:35:29,N/A,22,,
P24,TRUE,,14:35:35,N/A,23,,
P24,TRUE,,14:35:38,N/A,23,,
P24,TRUE,,14:35:41,N/A,23,,
P24,TRUE,,14:35:48,N/A,24,,
P24,TRUE,,14:35:50,N/A,24,,
P24,TRUE,,14:35:53,N/A,24,,
P24,TRUE,,14:36:00,N/A,25,,
P24,TRUE,,14:36:03,N/A,25,,
P24,TRUE,,14:36:05,N/A,25,,
P24,TRUE,,14:36:10,N/A,26,,
P24,TRUE,,14:36:14,N/A,26,,
P24,TRUE,,14:36:17,N/A,26,,
