Dataset Events,,,,,,
Dataset,Marked on Device,Note,Start,End,trial,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:48:51,N/A,,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:49:01,N/A,,start
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:49:32,N/A,1,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:49:35,N/A,1,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:49:39,N/A,1,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:49:45,N/A,2,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:49:49,N/A,2,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:49:52,N/A,2,
,,,13:49:52,9,3,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:02,N/A,3,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:05,N/A,3,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:12,N/A,4,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:16,N/A,4,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:19,N/A,4,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:27,N/A,5,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:30,N/A,5,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:33,N/A,5,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:39,N/A,6,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:42,N/A,6,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:46,N/A,6,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:52,N/A,7,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:54,N/A,7,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:50:57,N/A,7,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:51:04,N/A,8,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:51:07,N/A,8,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:51:11,N/A,8,
LOG_03_AffectivaQ-v2-AB97-SPP,TRUE,,13:51:17,N/A,9,
