File Exported by Q - (c) 2009 Affectiva Inc.,,,,,,,
File Version: 1.01,,,,,,,
Firmware Version: 1.81,,,,,,,
UUID: AQL07120078,,,,,,,
Sampling Rate: 32,,,,,,,
Start Time: 2015-02-23 08:29:55 Offset:-08,,,,,,,
Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
---------------------------------------------------------,,,,,,,
08:29:55.000,-0.78,0.19,0.67,-1,25.1,5.41,0
08:29:55.031,-0.73,0.14,0.65,-1,25.3,5.53,0
08:29:55.062,-0.57,0.15,0.44,-1,25.3,5.58,0
08:29:55.093,-1.07,0.11,0.11,-1,25.1,5.63,0
08:29:55.125,-1.25,0.1,0.01,-1,25.3,5.623,0
08:29:55.156,-1.22,0.13,0,-1,25.3,5.515,0
08:29:55.187,-1.16,0.17,-0.14,-1,25.3,5.443,0
08:29:55.218,-1.29,0.18,-0.22,-1,25.3,5.34,0
08:29:55.250,-1.22,0.18,-0.22,-1,25.3,5.279,0
08:29:55.281,-1.33,0.14,-0.25,-1,25.3,5.181,0
08:29:55.312,-1.23,0.14,-0.19,-1,25.3,5.122,0
08:29:55.343,-1.14,0.16,-0.19,-1,25.3,5.071,0
08:29:55.375,-1.11,0.14,-0.28,-1,25.3,4.978,0
08:29:55.406,-0.98,0.17,-0.26,-1,25.3,4.895,0
08:29:55.437,-0.94,0.17,-0.37,-1,25.1,4.923,0
08:29:55.468,-0.91,0.18,-0.41,-1,25.1,4.848,0
08:29:55.500,-1.25,0.4,-0.47,-1,25.1,4.841,0
08:29:55.531,-0.79,0.09,-0.37,-1,25.3,4.801,0
08:29:55.562,-0.81,0.03,-0.43,-1,25.3,4.755,0
08:29:55.593,-0.98,-0.01,-0.49,-1,25.3,4.755,0
08:29:55.625,-0.93,-0.03,-0.44,-1,25.3,4.741,0
08:29:55.656,-0.71,0.01,-0.55,-1,25.1,4.734,0
08:29:55.687,-0.84,0,-0.64,-1,25.3,4.664,0
08:29:55.718,-0.92,0.02,-0.78,-1,25.3,4.62,0
08:29:55.750,-0.68,0.05,-0.77,-1,25.3,4.606,0
08:29:55.781,-0.99,0,-0.77,-1,25.3,4.532,0
08:29:55.812,-0.89,0.03,-0.63,-1,25.3,4.519,0
08:29:55.843,-0.81,0.03,-0.58,-1,25.3,4.441,0
08:29:55.875,-0.89,-0.01,-0.56,-1,25.3,4.393,0
08:29:55.906,-0.82,0,-0.6,-1,25.1,4.352,0
08:29:55.937,-0.73,0.04,-0.62,-1,25.3,4.284,0
08:29:55.968,-0.72,0.04,-0.68,-1,25.3,4.245,0
08:29:56.000,-0.79,0.03,-0.63,-1,25.3,4.206,0
08:29:56.031,-0.72,0.09,-0.64,-1,25.3,4.206,0
08:29:56.062,-0.7,0.09,-0.61,-1,25.3,4.2,0
08:29:56.093,-0.66,0.11,-0.6,-1,25.3,4.167,0
08:29:56.125,-0.63,0.13,-0.65,-1,25.3,4.129,0
08:29:56.156,-0.77,0.08,-0.68,-1,25.3,4.091,0
08:29:56.187,-0.62,0.13,-0.65,-1,25.3,4.117,0
08:29:56.218,-0.54,0.15,-0.75,-1,25.3,4.048,0
08:29:56.250,-0.68,0.15,-0.7,-1,25.3,4,0
08:29:56.281,-0.62,0.11,-0.72,-1,25.3,3.904,0
08:29:56.312,-0.45,0.15,-0.74,-1,25.3,3.898,0
08:29:56.343,-0.5,0.07,-0.73,-1,25.3,3.812,0
08:29:56.375,-0.48,0.13,-0.8,-1,25.3,3.881,0
08:29:56.406,-0.44,0.12,-0.82,-1,25.3,4.024,0
08:29:56.437,-0.46,0.1,-0.75,-1,25.1,4.173,0
08:29:56.468,-0.49,0.1,-0.74,-1,25.3,4.284,0
08:29:56.500,-0.43,0.11,-0.77,-1,25.1,4.358,0
08:29:56.531,-0.46,0.11,-0.79,-1,25.3,4.406,0
08:29:56.562,-0.46,0.1,-0.75,-1,25.3,4.454,0
08:29:56.593,-0.43,0.07,-0.73,-1,25.3,4.49,0
08:29:56.625,-0.39,0.08,-0.78,-1,25.3,4.49,0
08:29:56.656,-0.3,0.13,-0.95,-1,25.3,4.49,0
08:29:56.687,-0.4,0.07,-0.87,-1,25.3,4.49,0
08:29:56.718,-0.33,0.09,-0.87,-1,25.3,4.49,0
08:29:56.750,-0.29,0.1,-0.83,-1,25.3,4.483,0
08:29:56.781,-0.24,0.11,-0.81,-1,25.3,4.448,0
08:29:56.812,-0.26,0.07,-0.78,-1,25.3,4.448,0
08:29:56.843,-0.21,0.03,-0.68,-1,25.3,4.448,0
08:29:56.875,-0.21,0.04,-0.87,-1,25.3,4.47,0
08:29:56.906,-0.23,0.04,-0.92,-1,25.3,4.441,0
08:29:56.937,-0.2,0.03,-0.88,-1,25.3,4.441,0
08:29:56.968,-0.2,0.06,-1.04,-1,25.3,4.406,0
08:29:57.000,-0.21,0.05,-1.04,-1,25.3,4.406,0
08:29:57.031,-0.25,0.01,-0.87,-1,25.3,4.406,0
08:29:57.062,-0.22,0.04,-0.86,-1,25.3,4.406,0
08:29:57.093,-0.24,0.03,-0.84,-1,25.3,4.4,0
08:29:57.125,-0.25,0.03,-0.8,-1,25.3,4.4,0
08:29:57.156,-0.27,0.04,-0.8,-1,25.3,4.4,0
08:29:57.187,-0.29,0.07,-0.87,-1,25.3,4.365,0
08:29:57.218,-0.3,0.07,-0.82,-1,25.3,4.365,0
08:29:57.250,-0.31,0.06,-0.82,-1,25.3,4.365,0
08:29:57.281,-0.35,0.08,-0.84,-1,25.3,4.365,0
08:29:57.312,-0.38,0.06,-0.83,-1,25.3,4.365,0
08:29:57.343,-0.44,0.05,-0.82,-1,25.3,4.4,0
08:29:57.375,-0.43,0.06,-0.82,-1,25.3,4.4,0
08:29:57.406,-0.45,0.05,-0.78,-1,25.3,4.365,0
08:29:57.437,-0.46,0.06,-0.79,-1,25.3,4.365,0
08:29:57.468,-0.5,0.05,-0.75,-1,25.3,4.365,0
