IFile Exported by Q - (c) 2009 Affectiva Inc.
File Version: 1.01
Firmware Version: 1.81
UUID: AQL07120078
Sampling Rate: 32
Start Time: 2015-02-24 12:32:02 Offset:-08
Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
---------------------------------------------------------
15:32:02.000,-0.060,0.000,1.130,-1,26.000,5.013,0
15:32:02.031,-0.060,0.000,1.130,-1,25.800,5.063,0
15:32:02.062,-0.060,0.000,1.120,-1,25.800,5.063,0
15:32:02.093,-0.060,0.000,1.120,-1,25.800,5.056,0
15:32:02.125,-0.070,0.000,1.120,-1,25.800,5.056,0
15:32:02.156,-0.070,0.000,1.120,-1,25.800,5.020,0
15:32:02.187,-0.070,0.000,1.120,-1,25.800,5.020,0
15:32:02.218,-0.060,0.000,1.120,-1,25.800,5.056,0
15:32:02.250,-0.060,0.000,1.130,-1,25.800,5.020,0
15:32:02.281,-0.060,0.000,1.120,-1,25.800,5.020,0
15:32:02.312,-0.060,0.000,1.130,-1,25.800,5.056,0
15:32:02.343,-0.070,0.000,1.120,-1,25.800,5.020,0
15:32:02.375,-0.060,0.000,1.120,-1,25.800,5.020,0
15:32:02.406,-0.060,0.000,1.130,-1,25.800,5.063,0
15:32:02.437,-0.060,0.000,1.130,-1,25.800,5.063,0
15:32:02.468,-0.070,0.000,1.120,-1,25.800,5.063,0
15:32:02.500,-0.060,0.000,1.120,-1,25.800,5.063,0
15:32:02.531,-0.060,0.000,1.120,-1,25.800,5.099,0
15:32:02.562,-0.070,0.000,1.120,-1,25.800,5.063,0
15:32:02.593,-0.070,0.000,1.120,-1,25.800,5.070,0
15:32:02.625,-0.060,0.000,1.130,-1,25.800,5.113,0
15:32:02.656,-0.070,0.000,1.130,-1,25.800,5.113,0
15:32:02.687,-0.070,0.000,1.120,-1,25.800,5.113,0
15:32:02.718,-0.060,0.000,1.120,-1,25.800,5.113,0
15:32:02.750,-0.070,0.000,1.120,-1,25.800,5.120,0
15:32:02.781,-0.060,0.000,1.120,-1,25.800,5.120,0
15:32:02.812,-0.060,0.000,1.120,-1,25.800,5.164,0
15:32:02.843,-0.060,0.000,1.120,-1,25.800,5.164,0
15:32:02.875,-0.070,0.000,1.120,-1,25.800,5.171,0
15:32:02.906,-0.070,0.000,1.120,-1,25.800,5.171,0
15:32:02.937,-0.060,0.000,1.120,-1,25.800,5.171,0
15:32:02.968,-0.070,0.000,1.120,-1,25.800,5.171,0
15:32:03.000,-0.060,0.000,1.120,-1,25.800,5.223,0
15:32:03.031,-0.040,-0.020,1.140,-1,26.000,5.223,0
15:32:03.062,-0.070,0.000,1.120,-1,25.800,5.223,0
15:32:03.093,-0.060,0.000,1.130,-1,25.800,5.223,0
15:32:03.125,-0.060,0.000,1.130,-1,25.800,5.223,0
15:32:03.156,-0.060,0.000,1.120,-1,25.800,5.223,0
15:32:03.187,-0.060,0.000,1.130,-1,25.800,5.223,0
15:32:03.218,-0.060,0.000,1.120,-1,25.800,5.223,0
15:32:03.250,-0.070,0.000,1.120,-1,25.800,5.223,0
15:32:03.281,-0.060,0.000,1.120,-1,25.800,5.223,0
15:32:03.312,-0.060,0.000,1.130,-1,25.800,5.223,0
15:32:03.343,-0.060,0.000,1.120,-1,26.000,5.268,0
15:32:03.375,-0.060,0.000,1.120,-1,25.800,5.223,0
15:32:03.406,-0.070,0.000,1.120,-1,26.000,5.223,0
15:32:03.437,-0.060,0.000,1.120,-1,25.800,5.223,0
15:32:03.468,-0.070,0.000,1.110,-1,25.800,5.268,0
15:32:03.500,-0.060,0.000,1.130,-1,26.000,5.223,0
15:32:03.531,-0.070,0.000,1.130,-1,25.800,5.223,0
15:32:03.562,-0.060,0.000,1.120,-1,25.800,5.223,0
15:32:03.593,-0.060,0.000,1.120,-1,25.800,5.223,0
15:32:03.625,-0.070,0.000,1.120,-1,25.800,5.268,0
15:32:03.656,-0.060,0.000,1.120,-1,26.000,5.223,0
15:32:03.687,-0.060,0.000,1.120,-1,25.800,5.223,0
15:32:03.718,-0.070,0.000,1.130,-1,26.000,5.223,0
15:32:03.750,-0.060,0.000,1.120,-1,25.800,5.223,0
15:32:03.781,-0.060,0.000,1.120,-1,25.800,5.215,0
15:32:03.812,-0.070,0.000,1.130,-1,25.800,5.215,0
15:32:03.843,-0.090,0.040,1.110,-1,25.800,5.215,0
15:32:03.875,-0.050,-0.010,1.120,-1,25.800,5.223,0
15:32:03.906,-0.050,0.000,1.130,-1,25.800,5.215,0
15:32:03.937,-0.070,0.000,1.110,-1,26.000,5.215,0
15:32:03.968,-0.060,0.000,1.130,-1,25.800,5.215,0
15:32:04.000,-0.060,0.030,1.120,-1,26.000,5.215,0
15:32:04.031,-0.070,0.020,1.130,-1,25.800,5.171,0
15:32:04.062,-0.070,0.010,1.120,-1,25.800,5.164,0
15:32:04.093,-0.070,0.000,1.130,-1,26.000,5.164,0
15:32:04.125,-0.060,0.000,1.110,-1,25.800,5.164,0
15:32:04.156,-0.060,0.000,1.120,-1,25.800,5.164,0
15:32:04.187,-0.060,0.010,1.120,-1,25.800,5.164,0
15:32:04.218,-0.060,0.020,1.110,-1,26.000,5.164,0
15:32:04.250,-0.070,0.000,1.120,-1,25.800,5.164,0
15:32:04.281,-0.040,0.000,1.130,-1,25.800,5.171,0
15:32:04.312,-0.070,0.000,1.130,-1,25.800,5.164,0
15:32:04.343,-0.060,0.010,1.120,-1,26.000,5.164,0
15:32:04.375,-0.060,0.000,1.130,-1,25.800,5.164,0
