File Exported by Q - (c) 2009 Affectiva Inc.
File Version: 1.01
Firmware Version: 1.81
UUID: AQL07120078
Sampling Rate: 32
Start Time: 2015-02-23 15:58:48 Offset:-08
Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
---------------------------------------------------------
18:58:48.000,-1.110,0.090,-0.110,-1,31.600,3.805,0
18:58:48.031,-1.110,0.040,-0.020,-1,31.600,3.744,1
18:58:48.062,-1.070,0.120,-0.080,-1,31.600,3.645,0
18:58:48.093,-1.050,0.100,-0.050,-1,31.600,3.525,0
18:58:48.125,-1.130,0.070,-0.010,-1,31.600,3.428,0
18:58:48.156,-1.080,0.080,0.000,-1,31.600,3.369,0
18:58:48.187,-1.160,0.070,0.000,-1,31.600,3.278,0
18:58:48.218,-1.140,0.060,0.000,-1,31.600,3.056,0
18:58:48.250,-1.100,0.050,0.020,-1,31.600,2.735,0
18:58:48.281,-1.110,0.020,0.060,-1,31.600,2.497,0
18:58:48.312,-1.130,0.050,0.030,-1,31.600,2.301,0
18:58:48.343,-1.140,0.090,0.020,-1,31.600,2.164,0
18:58:48.375,-1.080,0.010,0.080,-1,31.600,1.991,0
18:58:48.406,-1.110,0.030,0.040,-1,31.600,1.866,0
18:58:48.437,-1.110,0.040,0.020,-1,31.600,1.852,0
18:58:48.468,-1.120,0.040,0.020,-1,31.600,2.036,0
18:58:48.500,-1.130,0.020,0.030,-1,31.600,2.393,0
18:58:48.531,-1.130,0.020,0.000,-1,31.600,2.830,0
18:58:48.562,-1.100,0.020,0.000,-1,31.600,3.248,0
18:58:48.593,-1.100,0.020,0.000,-1,31.600,3.567,0
18:58:48.625,-1.070,0.050,-0.060,-1,31.600,3.823,0
18:58:48.656,-1.090,0.030,-0.070,-1,31.600,3.969,0
18:58:48.687,-1.120,0.020,-0.050,-1,31.600,4.104,0
18:58:48.718,-1.070,0.020,-0.050,-1,31.600,4.175,0
18:58:48.750,-1.090,0.020,-0.100,-1,31.600,4.220,0
18:58:48.781,-1.070,0.020,-0.110,-1,31.600,4.220,0
18:58:48.812,-1.060,0.020,-0.110,-1,31.600,4.220,0
18:58:48.843,-1.050,0.020,-0.130,-1,31.600,4.220,0
18:58:48.875,-1.010,0.030,-0.150,-1,31.600,4.213,0
18:58:48.906,-0.960,0.050,-0.200,-1,31.600,4.213,0
18:58:48.937,-1.010,0.080,-0.310,-1,31.600,4.220,0
18:58:48.968,-0.990,0.000,-0.320,-1,31.600,4.213,0
18:58:49.000,-1.150,-0.270,0.100,-1,31.600,4.220,0
18:58:49.031,-1.270,-0.290,0.320,-1,31.600,4.299,0
18:58:49.062,-1.150,-0.250,0.230,-1,31.600,4.333,0
18:58:49.093,-1.150,-0.230,0.220,-1,31.600,4.333,0
18:58:49.125,-1.090,-0.130,0.030,-1,31.600,4.339,0
18:58:49.156,-1.050,-0.060,-0.090,-1,31.600,4.312,0
18:58:49.187,-1.120,-0.110,-0.050,-1,31.600,4.339,0
18:58:49.218,-1.130,-0.160,0.000,-1,31.600,4.333,0
18:58:49.250,-1.130,-0.180,0.050,-1,31.600,4.292,0
18:58:49.281,-1.090,-0.150,0.000,-1,31.600,4.226,0
18:58:49.312,-1.070,-0.120,-0.040,-1,31.600,4.213,0
18:58:49.343,-1.080,-0.120,-0.050,-1,31.600,4.213,0
18:58:49.375,-1.080,-0.130,-0.030,-1,31.600,4.175,0
18:58:49.406,-1.100,-0.150,0.000,-1,31.600,4.149,0
18:58:49.437,-1.100,-0.180,0.000,-1,31.600,4.136,0
18:58:49.468,-1.090,-0.170,-0.030,-1,31.600,4.098,0
18:58:49.500,-1.110,-0.160,-0.030,-1,31.600,4.091,0
18:58:49.531,-1.140,-0.150,-0.020,-1,31.600,4.035,0
18:58:49.562,-1.090,-0.140,-0.010,-1,31.600,4.024,0
18:58:49.593,-1.090,-0.130,0.000,-1,31.600,4.018,0
18:58:49.625,-1.080,-0.110,-0.040,-1,31.600,4.018,0
18:58:49.656,-1.110,-0.130,-0.010,-1,31.600,4.024,0
18:58:49.687,-1.110,-0.130,-0.040,-1,31.600,3.993,0
18:58:49.718,-1.080,-0.120,-0.060,-1,31.600,4.000,0
18:58:49.750,-1.060,-0.140,-0.020,-1,31.600,4.061,0
18:58:49.781,-1.140,-0.190,0.020,-1,31.600,4.042,0
18:58:49.812,-1.120,-0.210,0.060,-1,31.600,4.073,0
18:58:49.843,-1.100,-0.190,0.070,-1,31.600,4.073,0
18:58:49.875,-1.110,-0.200,0.080,-1,31.600,4.098,0
18:58:49.906,-1.130,-0.180,0.030,-1,31.600,4.098,0
18:58:49.937,-1.090,-0.140,0.000,-1,31.600,4.042,0
18:58:49.968,-1.090,-0.110,-0.010,-1,31.600,4.073,0
18:58:50.000,-1.080,-0.100,-0.050,-1,31.600,4.073,0
18:58:50.031,-1.100,-0.110,-0.050,-1,31.600,4.073,0
18:58:50.062,-1.080,-0.110,-0.040,-1,31.600,4.042,0
18:58:50.093,-1.090,-0.120,-0.020,-1,31.600,4.035,0
18:58:50.125,-1.120,-0.140,0.000,-1,31.600,4.035,0
18:58:50.156,-1.100,-0.120,0.000,-1,31.600,4.035,0
18:58:50.187,-1.100,-0.110,-0.020,-1,31.600,4.035,0
18:58:50.218,-1.080,-0.120,-0.020,-1,31.600,4.035,0
18:58:50.250,-1.100,-0.120,-0.020,-1,31.600,4.035,0
18:58:50.281,-1.110,-0.130,-0.020,-1,31.600,4.067,0
18:58:50.312,-1.100,-0.130,0.000,-1,31.600,4.042,0
18:58:50.343,-1.080,-0.130,-0.010,-1,31.600,4.073,0
18:58:50.375,-1.100,-0.130,-0.010,-1,31.600,4.073,0
18:58:50.406,-1.110,-0.130,0.000,-1,31.600,4.073,0
18:58:50.437,-1.080,-0.130,0.000,-1,31.600,4.098,0
18:58:50.468,-1.090,-0.120,-0.020,-1,31.600,4.098,0
18:58:50.500,-1.100,-0.130,-0.040,-1,31.600,4.073,0
18:58:50.531,-1.110,-0.130,-0.030,-1,31.600,4.073,0
18:58:50.562,-1.110,-0.140,-0.020,-1,31.600,4.098,0
18:58:50.593,-1.080,-0.130,-0.020,-1,31.600,4.073,0
18:58:50.625,-1.090,-0.130,0.000,-1,31.600,4.073,0
18:58:50.656,-1.100,-0.150,0.000,-1,31.600,4.104,0
18:58:50.687,-1.100,-0.130,-0.040,-1,31.600,4.104,0
18:58:50.718,-1.080,-0.130,-0.060,-1,31.600,4.104,0
18:58:50.750,-1.070,-0.130,-0.050,-1,31.600,4.111,0
18:58:50.781,-1.100,-0.140,-0.030,-1,31.600,4.136,0
18:58:50.812,-1.120,-0.160,-0.010,-1,31.600,4.136,0
18:58:50.843,-1.090,-0.170,0.000,-1,31.600,4.136,0
18:58:50.875,-1.110,-0.170,-0.010,-1,31.600,4.111,0
18:58:50.906,-1.100,-0.150,-0.030,-1,31.600,4.111,0
18:58:50.937,-1.090,-0.160,-0.020,-1,31.600,4.111,0
18:58:50.968,-1.090,-0.160,0.000,-1,31.600,4.111,0
18:58:51.000,-1.090,-0.160,-0.010,-1,31.600,4.136,0
18:58:51.031,-1.090,-0.160,-0.020,-1,31.600,4.111,0
18:58:51.062,-1.090,-0.160,-0.020,-1,31.600,4.111,0
18:58:51.093,-1.090,-0.160,-0.020,-1,31.600,4.111,0
18:58:51.125,-1.100,-0.160,-0.010,-1,31.600,4.111,0
18:58:51.156,-1.100,-0.160,-0.020,-1,31.600,4.111,0
18:58:51.187,-1.090,-0.170,-0.020,-1,31.600,4.111,0
18:58:51.218,-1.090,-0.170,-0.020,-1,31.600,4.111,0
18:58:51.250,-1.100,-0.160,-0.010,-1,31.600,4.111,0
18:58:51.281,-1.090,-0.170,-0.010,-1,31.600,4.104,0
18:58:51.312,-1.100,-0.170,-0.010,-1,31.600,4.104,0
18:58:51.343,-1.080,-0.170,-0.010,-1,31.600,4.104,0
18:58:51.375,-1.100,-0.170,-0.010,-1,31.600,4.104,0
18:58:51.406,-1.100,-0.170,-0.020,-1,31.600,4.104,0
18:58:51.437,-1.100,-0.170,-0.010,-1,31.600,4.104,0
18:58:51.468,-1.090,-0.170,-0.010,-1,31.600,4.104,0
18:58:51.500,-1.100,-0.170,-0.010,-1,31.600,4.104,0
18:58:51.531,-1.080,-0.170,0.000,-1,31.600,4.104,0
18:58:51.562,-1.090,-0.170,-0.010,-1,31.600,4.104,0
18:58:51.593,-1.090,-0.180,0.000,-1,31.600,4.104,0
18:58:51.625,-1.100,-0.170,0.000,-1,31.600,4.104,0
18:58:51.656,-1.090,-0.170,0.000,-1,31.600,4.130,0
18:58:51.687,-1.080,-0.170,0.000,-1,31.600,4.104,0
18:58:51.718,-1.110,-0.200,0.000,-1,31.600,4.073,0
18:58:51.750,-1.110,-0.190,-0.010,-1,31.600,4.073,0
18:58:51.781,-1.090,-0.200,0.000,-1,31.600,4.073,0
18:58:51.812,-1.090,-0.200,0.000,-1,31.600,4.073,0
18:58:51.843,-1.100,-0.200,0.000,-1,31.600,4.073,0
18:58:51.875,-1.100,-0.180,0.000,-1,31.600,4.073,0
18:58:51.906,-1.080,-0.180,0.000,-1,31.600,4.098,0
18:58:51.937,-1.090,-0.170,0.000,-1,31.600,4.073,0
18:58:51.968,-1.090,-0.180,0.000,-1,31.600,4.098,0
18:58:52.000,-1.100,-0.180,0.000,-1,31.600,4.073,0
18:58:52.031,-1.080,-0.170,-0.020,-1,31.600,4.073,0
18:58:52.062,-1.090,-0.180,0.000,-1,31.600,4.073,0
18:58:52.093,-1.090,-0.160,0.010,-1,31.600,4.073,0
18:58:52.125,-1.100,-0.160,0.000,-1,31.400,4.073,0
18:58:52.156,-1.110,-0.160,-0.010,-1,31.600,4.035,0
18:58:52.187,-1.110,-0.190,0.000,-1,31.600,4.073,0
18:58:52.218,-1.120,-0.200,0.000,-1,31.600,4.042,0
18:58:52.250,-1.100,-0.230,0.000,-1,31.600,4.035,0
18:58:52.281,-1.090,-0.240,0.010,-1,31.600,4.061,0
18:58:52.312,-1.100,-0.220,0.000,-1,31.600,4.035,0
18:58:52.343,-1.090,-0.190,-0.010,-1,31.600,4.035,0
18:58:52.375,-1.090,-0.170,-0.020,-1,31.600,4.035,0
18:58:52.406,-1.090,-0.170,0.000,-1,31.600,4.035,0
18:58:52.437,-1.100,-0.150,0.000,-1,31.600,4.035,0
18:58:52.468,-1.130,-0.080,-0.090,-1,31.600,4.035,0
18:58:52.500,-1.120,-0.080,-0.150,-1,31.600,4.035,0
18:58:52.531,-1.020,-0.120,0.000,-1,31.600,4.030,0
18:58:52.562,-1.080,-0.160,0.030,-1,31.600,3.993,0
18:58:52.593,-1.130,-0.200,0.080,-1,31.600,3.993,0
18:58:52.625,-1.160,-0.210,0.090,-1,31.600,4.018,0
18:58:52.656,-1.080,-0.180,0.020,-1,31.600,3.963,0
18:58:52.687,-1.000,-0.160,0.010,-1,31.600,3.993,0
18:58:52.718,-1.080,-0.200,0.060,-1,31.600,3.963,0
18:58:52.750,-1.120,-0.140,-0.080,-1,31.600,3.993,0
18:58:52.781,-1.120,-0.090,-0.160,-1,31.600,4.018,0
18:58:52.812,-1.090,-0.050,-0.210,-1,31.600,4.000,0
18:58:52.843,-1.090,-0.070,-0.170,-1,31.600,3.993,0
18:58:52.875,-1.090,-0.100,-0.080,-1,31.600,3.993,0
18:58:52.906,-1.100,-0.120,-0.030,-1,31.600,3.993,0
18:58:52.937,-1.080,-0.120,-0.010,-1,31.600,3.993,0
18:58:52.968,-1.090,-0.090,-0.050,-1,31.600,3.993,0
18:58:53.000,-1.090,-0.070,-0.090,-1,31.600,3.963,0
18:58:53.031,-1.080,-0.050,-0.110,-1,31.600,3.957,0
18:58:53.062,-1.090,-0.060,-0.100,-1,31.600,3.928,0
18:58:53.093,-1.090,-0.090,-0.070,-1,31.600,3.928,0
18:58:53.125,-1.080,-0.080,-0.080,-1,31.600,3.892,0
18:58:53.156,-1.030,-0.080,-0.080,-1,31.600,3.892,0
18:58:53.187,-1.070,-0.080,-0.090,-1,31.600,3.886,0
18:58:53.218,-1.150,-0.120,-0.060,-1,31.600,3.886,0
18:58:53.250,-1.140,-0.150,-0.040,-1,31.600,3.886,0
18:58:53.281,-1.080,-0.150,-0.010,-1,31.600,3.857,0
18:58:53.312,-1.070,-0.120,-0.040,-1,31.600,3.857,0
18:58:53.343,-1.110,-0.090,-0.050,-1,31.600,3.857,0
18:58:53.375,-1.120,-0.090,-0.060,-1,31.600,3.857,0
18:58:53.406,-1.090,-0.090,-0.070,-1,31.600,3.857,0
18:58:53.437,-1.070,-0.110,-0.060,-1,31.600,3.823,0
18:58:53.468,-1.120,-0.140,-0.030,-1,31.600,3.823,0
18:58:53.500,-1.100,-0.130,-0.020,-1,31.600,3.823,0
18:58:53.531,-1.090,-0.110,-0.040,-1,31.600,3.852,0
18:58:53.562,-1.080,-0.100,-0.040,-1,31.600,3.857,0
18:58:53.593,-1.090,-0.110,-0.060,-1,31.600,3.857,0
18:58:53.625,-1.100,-0.120,-0.060,-1,31.600,3.829,0
18:58:53.656,-1.090,-0.140,-0.060,-1,31.600,3.823,0
18:58:53.687,-1.080,-0.150,-0.040,-1,31.600,3.823,0
18:58:53.718,-1.110,-0.150,-0.010,-1,31.600,3.823,0
18:58:53.750,-1.110,-0.150,0.000,-1,31.600,3.823,0
18:58:53.781,-1.100,-0.140,-0.010,-1,31.600,3.823,0
18:58:53.812,-1.090,-0.120,-0.030,-1,31.600,3.789,0
18:58:53.843,-1.100,-0.130,-0.040,-1,31.600,3.789,0
18:58:53.875,-1.080,-0.130,-0.040,-1,31.600,3.783,0
18:58:53.906,-1.110,-0.140,-0.030,-1,31.600,3.789,0
18:58:53.937,-1.090,-0.130,-0.040,-1,31.600,3.783,0
18:58:53.968,-1.090,-0.130,-0.040,-1,31.600,3.783,0
18:58:54.000,-1.100,-0.140,-0.040,-1,31.600,3.789,0
18:58:54.031,-1.130,-0.160,-0.030,-1,31.600,3.823,0
18:58:54.062,-1.100,-0.150,-0.010,-1,31.600,3.823,0
18:58:54.093,-1.060,-0.110,-0.010,-1,31.600,3.823,0
18:58:54.125,-1.100,-0.090,-0.010,-1,31.600,3.829,0
18:58:54.156,-1.100,-0.060,-0.020,-1,31.600,3.857,0
18:58:54.187,-1.090,-0.070,-0.060,-1,31.600,3.829,0
18:58:54.218,-1.100,-0.090,-0.070,-1,31.600,3.857,0
18:58:54.250,-1.130,-0.110,-0.070,-1,31.600,3.857,0
18:58:54.281,-1.170,-0.140,-0.060,-1,31.600,3.857,0
18:58:54.312,-1.150,-0.150,-0.010,-1,31.600,3.857,0
18:58:54.343,-1.020,-0.110,0.000,-1,31.600,3.857,0
18:58:54.375,-1.160,-0.140,0.000,-1,31.600,3.886,0
18:58:54.406,-1.290,-0.150,0.060,-1,31.600,3.886,0
18:58:54.437,-1.170,-0.080,0.000,-1,31.600,3.886,0
18:58:54.468,-1.140,-0.050,-0.040,-1,31.600,3.886,0
18:58:54.500,-1.070,-0.010,-0.050,-1,31.600,3.892,0
18:58:54.531,-0.960,-0.010,-0.010,-1,31.600,3.892,0
18:58:54.562,-0.900,-0.030,0.060,-1,31.600,3.892,0
18:58:54.593,-0.950,-0.020,0.060,-1,31.600,3.922,0
18:58:54.625,-1.050,0.000,0.000,-1,31.600,3.922,0
18:58:54.656,-1.190,-0.020,0.020,-1,31.600,3.922,0
18:58:54.687,-1.200,-0.040,0.070,-1,31.600,3.928,0
18:58:54.718,-1.150,-0.040,0.070,-1,31.600,3.922,0
18:58:54.750,-1.130,-0.040,0.030,-1,31.600,3.928,0
18:58:54.781,-1.140,-0.040,0.020,-1,31.600,3.928,0
18:58:54.812,-1.160,-0.050,0.050,-1,31.600,3.928,0
18:58:54.843,-1.090,-0.010,0.020,-1,31.600,3.928,0
18:58:54.875,-1.060,0.010,-0.010,-1,31.600,3.928,0
18:58:54.906,-1.160,-0.010,0.000,-1,31.600,3.928,0
18:58:54.937,-1.180,-0.020,0.000,-1,31.600,3.928,0
18:58:54.968,-1.120,-0.020,0.020,-1,31.600,3.928,0
18:58:55.000,-1.150,-0.080,0.070,-1,31.600,3.928,0
18:58:55.031,-1.150,-0.100,0.120,-1,31.600,3.928,0
18:58:55.062,-1.030,-0.060,0.100,-1,31.600,3.928,0
