Dataset Events,,,,,
Dataset,Marked on Device,Note,Start,End,trial
LOG01_0078_2015_02_23,TRUE,,08:35:51,N/A,
LOG01_0078_2015_02_23,TRUE,,08:36:23,N/A,
LOG01_0078_2015_02_23,TRUE,,08:36:24,N/A,
LOG01_0078_2015_02_23,TRUE,,08:36:25,N/A,
LOG01_0078_2015_02_23,TRUE,,08:36:25,N/A,
LOG01_0078_2015_02_23,TRUE,,08:36:25,N/A,
LOG01_0078_2015_02_23,TRUE,,08:36:33,N/A,
LOG01_0078_2015_02_23,TRUE,,08:37:07,N/A,2
LOG01_0078_2015_02_23,TRUE,,08:37:12,N/A,2
LOG01_0078_2015_02_23,TRUE,,08:37:15,N/A,2
LOG01_0078_2015_02_23,TRUE,,08:37:23,N/A,3
LOG01_0078_2015_02_23,TRUE,,08:37:26,N/A,3
LOG01_0078_2015_02_23,TRUE,,08:37:30,N/A,3
LOG01_0078_2015_02_23,TRUE,,08:37:36,N/A,4
LOG01_0078_2015_02_23,TRUE,,08:37:39,N/A,4
,,,08:37:42,,4
LOG01_0078_2015_02_23,TRUE,,08:37:47,N/A,5
LOG01_0078_2015_02_23,TRUE,,08:37:52,N/A,5
LOG01_0078_2015_02_23,TRUE,,08:37:55,N/A,5
LOG01_0078_2015_02_23,TRUE,,08:38:02,N/A,6
LOG01_0078_2015_02_23,TRUE,,08:38:05,N/A,6
LOG01_0078_2015_02_23,TRUE,,08:38:08,N/A,6
LOG01_0078_2015_02_23,TRUE,,08:38:14,N/A,7
LOG01_0078_2015_02_23,TRUE,,08:38:19,N/A,7
LOG01_0078_2015_02_23,TRUE,,08:38:21,N/A,7
LOG01_0078_2015_02_23,TRUE,,08:38:28,N/A,8
LOG01_0078_2015_02_23,TRUE,,08:38:28,N/A,
LOG01_0078_2015_02_23,TRUE,,08:38:32,N/A,8
LOG01_0078_2015_02_23,TRUE,,08:38:34,N/A,8
LOG01_0078_2015_02_23,TRUE,,08:38:40,N/A,9
LOG01_0078_2015_02_23,TRUE,,08:38:40,N/A,
LOG01_0078_2015_02_23,TRUE,,08:38:44,N/A,9
LOG01_0078_2015_02_23,TRUE,,08:38:46,N/A,9
LOG01_0078_2015_02_23,TRUE,,08:38:53,N/A,10
LOG01_0078_2015_02_23,TRUE,,08:38:53,N/A,
LOG01_0078_2015_02_23,TRUE,,08:38:56,N/A,10
LOG01_0078_2015_02_23,TRUE,,08:38:58,N/A,10
LOG01_0078_2015_02_23,TRUE,,08:39:05,N/A,11
LOG01_0078_2015_02_23,TRUE,,08:39:05,N/A,
LOG01_0078_2015_02_23,TRUE,,08:39:10,N/A,11
LOG01_0078_2015_02_23,TRUE,,08:39:13,N/A,11
LOG01_0078_2015_02_23,TRUE,,08:39:19,N/A,12
LOG01_0078_2015_02_23,TRUE,,08:39:19,N/A,
LOG01_0078_2015_02_23,TRUE,,08:39:24,N/A,12
LOG01_0078_2015_02_23,TRUE,,08:39:25,N/A,12
LOG01_0078_2015_02_23,TRUE,,08:39:30,N/A,13
LOG01_0078_2015_02_23,TRUE,,08:39:30,N/A,
LOG01_0078_2015_02_23,TRUE,,08:39:34,N/A,13
LOG01_0078_2015_02_23,TRUE,,08:39:36,N/A,13
LOG01_0078_2015_02_23,TRUE,,08:39:43,N/A,14
LOG01_0078_2015_02_23,TRUE,,08:39:47,N/A,14
LOG01_0078_2015_02_23,TRUE,,08:39:49,N/A,14
LOG01_0078_2015_02_23,TRUE,,08:39:56,N/A,15
LOG01_0078_2015_02_23,TRUE,,08:39:56,N/A,
LOG01_0078_2015_02_23,TRUE,,08:40:01,N/A,15
LOG01_0078_2015_02_23,TRUE,,08:40:03,N/A,15
LOG01_0078_2015_02_23,TRUE,,08:40:09,N/A,16
LOG01_0078_2015_02_23,TRUE,,08:40:13,N/A,16
LOG01_0078_2015_02_23,TRUE,,08:40:16,N/A,16
LOG01_0078_2015_02_23,TRUE,,08:40:22,N/A,17
LOG01_0078_2015_02_23,TRUE,,08:40:23,N/A,
LOG01_0078_2015_02_23,TRUE,,08:40:26,N/A,17
LOG01_0078_2015_02_23,TRUE,,08:40:29,N/A,17
LOG01_0078_2015_02_23,TRUE,,08:40:35,N/A,18
LOG01_0078_2015_02_23,TRUE,,08:40:39,N/A,18
LOG01_0078_2015_02_23,TRUE,,08:40:42,N/A,18
LOG01_0078_2015_02_23,TRUE,,08:40:48,N/A,19
LOG01_0078_2015_02_23,TRUE,,08:40:49,N/A,
LOG01_0078_2015_02_23,TRUE,,08:40:53,N/A,19
LOG01_0078_2015_02_23,TRUE,,08:40:54,N/A,19
LOG01_0078_2015_02_23,TRUE,,08:41:00,N/A,20
LOG01_0078_2015_02_23,TRUE,,08:41:00,N/A,
LOG01_0078_2015_02_23,TRUE,,08:41:04,N/A,20
LOG01_0078_2015_02_23,TRUE,,08:41:09,N/A,20
LOG01_0078_2015_02_23,TRUE,,08:41:17,N/A,21
LOG01_0078_2015_02_23,TRUE,,08:41:20,N/A,21
LOG01_0078_2015_02_23,TRUE,,08:41:23,N/A,21
LOG01_0078_2015_02_23,TRUE,,08:41:29,N/A,22
LOG01_0078_2015_02_23,TRUE,,08:41:33,N/A,22
LOG01_0078_2015_02_23,TRUE,,08:41:36,N/A,22
LOG01_0078_2015_02_23,TRUE,,08:41:42,N/A,23
LOG01_0078_2015_02_23,TRUE,,08:41:43,N/A,
LOG01_0078_2015_02_23,TRUE,,08:41:46,N/A,23
LOG01_0078_2015_02_23,TRUE,,08:41:48,N/A,23
LOG01_0078_2015_02_23,TRUE,,08:41:55,N/A,24
LOG01_0078_2015_02_23,TRUE,,08:41:55,N/A,
LOG01_0078_2015_02_23,TRUE,,08:42:00,N/A,24
LOG01_0078_2015_02_23,TRUE,,08:42:03,N/A,24
LOG01_0078_2015_02_23,TRUE,,08:42:09,N/A,25
LOG01_0078_2015_02_23,TRUE,,08:42:13,N/A,25
LOG01_0078_2015_02_23,TRUE,,08:42:15,N/A,25
LOG01_0078_2015_02_23,TRUE,,08:42:22,N/A,26
LOG01_0078_2015_02_23,TRUE,,08:42:26,N/A,26
LOG01_0078_2015_02_23,TRUE,,08:42:29,N/A,26
LOG01_0078_2015_02_23,TRUE,,08:42:36,N/A,27
,,,08:42:40,,27
LOG01_0078_2015_02_23,TRUE,,08:42:42,N/A,27
LOG01_0078_2015_02_23,TRUE,,08:42:48,N/A,28
LOG01_0078_2015_02_23,TRUE,,08:42:52,N/A,28
LOG01_0078_2015_02_23,TRUE,,08:42:54,N/A,28
LOG01_0078_2015_02_23,TRUE,,08:43:00,N/A,29
LOG01_0078_2015_02_23,TRUE,,08:43:04,N/A,29
LOG01_0078_2015_02_23,TRUE,,08:43:07,N/A,29
LOG01_0078_2015_02_23,TRUE,,08:43:15,N/A,30
LOG01_0078_2015_02_23,TRUE,,08:43:18,N/A,30
LOG01_0078_2015_02_23,TRUE,,08:43:21,N/A,30
LOG01_0078_2015_02_23,TRUE,,08:43:28,N/A,31
LOG01_0078_2015_02_23,TRUE,,08:43:29,N/A,
LOG01_0078_2015_02_23,TRUE,,08:43:31,N/A,31
LOG01_0078_2015_02_23,TRUE,,08:43:34,N/A,31
LOG01_0078_2015_02_23,TRUE,,08:43:40,N/A,
LOG01_0078_2015_02_23,TRUE,,08:43:40,N/A,32
LOG01_0078_2015_02_23,TRUE,,08:43:43,N/A,32
LOG01_0078_2015_02_23,TRUE,,08:43:45,N/A,32
,,,,,
