Dataset Events,,,,,,
Dataset,Marked on Device,Note,Start,End,trial,
LOG07_0078_2015_02_23,TRUE,,19:40:58,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:42:26,N/A,2,
LOG07_0078_2015_02_23,TRUE,,19:42:26,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:42:27,N/A,,
LOG07_0078_2015_02_23,added,,19:42:30,,2,added based on mean
LOG07_0078_2015_02_23,added,,19:42:32,,2,added based on mean
LOG07_0078_2015_02_23,TRUE,,19:42:35,N/A,3,
LOG07_0078_2015_02_23,TRUE,,19:42:36,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:42:36,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:42:36,N/A,,
LOG07_0078_2015_02_23,added,,19:42:39,,3,added based on mean
LOG07_0078_2015_02_23,added,,19:42:41,,3,added based on mean
LOG07_0078_2015_02_23,TRUE,,19:43:06,N/A,4,
LOG07_0078_2015_02_23,TRUE,,19:43:06,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:43:11,N/A,4,
LOG07_0078_2015_02_23,TRUE,,19:43:12,N/A,4,
LOG07_0078_2015_02_23,TRUE,,19:43:20,N/A,5,
LOG07_0078_2015_02_23,TRUE,,19:43:21,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:43:22,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:43:25,N/A,5,
LOG07_0078_2015_02_23,TRUE,,19:43:27,N/A,5,
LOG07_0078_2015_02_23,TRUE,,19:43:35,N/A,6,
LOG07_0078_2015_02_23,TRUE,,19:43:35,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:43:35,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:43:36,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:43:39,N/A,6,
LOG07_0078_2015_02_23,TRUE,,19:43:40,N/A,6,
LOG07_0078_2015_02_23,TRUE,,19:43:47,N/A,7,
LOG07_0078_2015_02_23,TRUE,,19:43:48,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:43:48,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:43:48,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:43:48,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:43:51,N/A,7,
LOG07_0078_2015_02_23,TRUE,,19:43:53,N/A,7,
LOG07_0078_2015_02_23,TRUE,,19:44:00,N/A,8,
LOG07_0078_2015_02_23,TRUE,,19:44:00,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:44:00,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:44:00,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:44:01,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:44:01,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:44:04,N/A,8,
LOG07_0078_2015_02_23,TRUE,,19:44:05,N/A,8,
LOG07_0078_2015_02_23,TRUE,,19:44:12,N/A,9,
LOG07_0078_2015_02_23,TRUE,,19:44:12,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:44:12,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:44:17,N/A,9,
LOG07_0078_2015_02_23,TRUE,,19:44:18,N/A,9,
LOG07_0078_2015_02_23,TRUE,,19:44:25,N/A,10,
LOG07_0078_2015_02_23,TRUE,,19:44:29,N/A,10,
LOG07_0078_2015_02_23,TRUE,,19:44:30,N/A,10,
LOG07_0078_2015_02_23,TRUE,,19:44:37,N/A,11,
LOG07_0078_2015_02_23,TRUE,,19:44:37,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:44:38,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:44:41,N/A,11,
LOG07_0078_2015_02_23,TRUE,,19:44:42,N/A,11,
LOG07_0078_2015_02_23,TRUE,,19:44:48,N/A,12,
LOG07_0078_2015_02_23,TRUE,,19:44:50,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:44:53,N/A,12,
LOG07_0078_2015_02_23,TRUE,,19:44:55,N/A,12,
LOG07_0078_2015_02_23,TRUE,,19:45:02,N/A,13,
LOG07_0078_2015_02_23,TRUE,,19:45:08,N/A,13,
LOG07_0078_2015_02_23,TRUE,,19:45:09,N/A,13,
LOG07_0078_2015_02_23,TRUE,,19:45:17,N/A,14,
LOG07_0078_2015_02_23,TRUE,,19:45:17,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:45:17,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:45:21,N/A,14,
LOG07_0078_2015_02_23,TRUE,,19:45:22,N/A,14,
LOG07_0078_2015_02_23,TRUE,,19:45:30,N/A,15,
LOG07_0078_2015_02_23,TRUE,,19:45:31,N/A,,
LOG07_0078_2015_02_23,TRUE,,19:45:35,N/A,15,
