Dataset Events,,,,,,,
Dataset,Marked on Device,Note,Start,End,trial,,
LOG23_0078_2015_02_23,TRUE,,23:35:21,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:36:21,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:36:21,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:36:21,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:36:21,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:36:23,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:36:23,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:36:49,N/A,,2,double by mistake
LOG23_0078_2015_02_23,TRUE,,23:36:54,N/A,,2,
LOG23_0078_2015_02_23,TRUE,,23:36:56,N/A,,2,
LOG23_0078_2015_02_23,TRUE,,23:37:03,N/A,2,,
LOG23_0078_2015_02_23,TRUE,,23:37:10,N/A,2,,
LOG23_0078_2015_02_23,TRUE,,23:37:11,N/A,2,,
LOG23_0078_2015_02_23,TRUE,,23:37:19,N/A,3,,
LOG23_0078_2015_02_23,TRUE,,23:37:19,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:37:23,N/A,3,,
LOG23_0078_2015_02_23,TRUE,,23:37:24,N/A,3,,
LOG23_0078_2015_02_23,TRUE,,23:37:31,N/A,4,,
LOG23_0078_2015_02_23,TRUE,,23:37:36,N/A,4,,
LOG23_0078_2015_02_23,TRUE,,23:37:37,N/A,4,,
LOG23_0078_2015_02_23,TRUE,,23:37:44,N/A,5,,
LOG23_0078_2015_02_23,TRUE,,23:37:48,N/A,5,,
LOG23_0078_2015_02_23,TRUE,,23:37:49,N/A,5,,
LOG23_0078_2015_02_23,TRUE,,23:37:56,N/A,6,,
LOG23_0078_2015_02_23,TRUE,,23:38:01,N/A,6,,
LOG23_0078_2015_02_23,TRUE,,23:38:02,N/A,6,,
LOG23_0078_2015_02_23,TRUE,,23:38:09,N/A,7,,
LOG23_0078_2015_02_23,TRUE,,23:38:13,N/A,7,,
LOG23_0078_2015_02_23,TRUE,,23:38:14,N/A,7,,
LOG23_0078_2015_02_23,TRUE,,23:38:20,N/A,8,,
LOG23_0078_2015_02_23,TRUE,,23:38:25,N/A,8,,
LOG23_0078_2015_02_23,TRUE,,23:38:25,N/A,8,,
LOG23_0078_2015_02_23,TRUE,,23:38:34,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:38:37,N/A,9,,
LOG23_0078_2015_02_23,TRUE,,23:38:37,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:38:42,N/A,9,,
LOG23_0078_2015_02_23,TRUE,,23:38:43,N/A,9,,
LOG23_0078_2015_02_23,TRUE,,23:38:49,N/A,10,,
LOG23_0078_2015_02_23,TRUE,,23:38:56,N/A,10,,
LOG23_0078_2015_02_23,TRUE,,23:38:56,N/A,10,,
LOG23_0078_2015_02_23,TRUE,,23:39:03,N/A,11,,
LOG23_0078_2015_02_23,TRUE,,23:39:08,N/A,11,,
LOG23_0078_2015_02_23,TRUE,,23:39:09,N/A,11,,
LOG23_0078_2015_02_23,TRUE,,23:39:16,N/A,12,,
LOG23_0078_2015_02_23,TRUE,,23:39:20,N/A,12,,
LOG23_0078_2015_02_23,TRUE,,23:39:21,N/A,12,,
LOG23_0078_2015_02_23,TRUE,,23:39:27,N/A,13,,
LOG23_0078_2015_02_23,TRUE,,23:39:27,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:39:32,N/A,13,,
LOG23_0078_2015_02_23,TRUE,,23:39:33,N/A,13,,
LOG23_0078_2015_02_23,TRUE,,23:39:40,N/A,14,,
LOG23_0078_2015_02_23,TRUE,,23:39:40,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:39:45,N/A,14,,
LOG23_0078_2015_02_23,TRUE,,23:39:46,N/A,14,,
LOG23_0078_2015_02_23,TRUE,,23:39:53,N/A,15,,
LOG23_0078_2015_02_23,TRUE,,23:39:54,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:39:58,N/A,15,,
LOG23_0078_2015_02_23,TRUE,,23:40:00,N/A,15,,
LOG23_0078_2015_02_23,TRUE,,23:40:07,N/A,16,,
LOG23_0078_2015_02_23,TRUE,,23:40:12,N/A,16,,
LOG23_0078_2015_02_23,TRUE,,23:40:14,N/A,16,,
LOG23_0078_2015_02_23,TRUE,,23:40:21,N/A,17,,
LOG23_0078_2015_02_23,TRUE,,23:40:21,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:40:27,N/A,17,,
LOG23_0078_2015_02_23,TRUE,,23:40:28,N/A,17,,
LOG23_0078_2015_02_23,TRUE,,23:40:35,N/A,18,,
LOG23_0078_2015_02_23,TRUE,,23:40:35,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:40:41,N/A,18,,
LOG23_0078_2015_02_23,TRUE,,23:40:41,N/A,18,,
LOG23_0078_2015_02_23,TRUE,,23:40:49,N/A,19,,
LOG23_0078_2015_02_23,TRUE,,23:40:55,N/A,19,,
LOG23_0078_2015_02_23,TRUE,,23:40:55,N/A,19,,
LOG23_0078_2015_02_23,TRUE,,23:41:03,N/A,20,,
LOG23_0078_2015_02_23,TRUE,,23:41:03,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:41:09,N/A,20,,
LOG23_0078_2015_02_23,TRUE,,23:41:09,N/A,20,,
LOG23_0078_2015_02_23,TRUE,,23:41:16,N/A,,x,
LOG23_0078_2015_02_23,TRUE,,23:41:24,N/A,21,,
LOG23_0078_2015_02_23,TRUE,,23:41:25,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:41:29,N/A,21,,
LOG23_0078_2015_02_23,TRUE,,23:41:30,N/A,21,,
LOG23_0078_2015_02_23,TRUE,,23:41:37,N/A,22,,
LOG23_0078_2015_02_23,TRUE,,23:41:38,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:41:42,N/A,22,,
LOG23_0078_2015_02_23,TRUE,,23:41:43,N/A,22,,
LOG23_0078_2015_02_23,TRUE,,23:41:50,N/A,23,,
LOG23_0078_2015_02_23,TRUE,,23:41:50,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:41:55,N/A,23,,
LOG23_0078_2015_02_23,TRUE,,23:41:56,N/A,23,,
LOG23_0078_2015_02_23,TRUE,,23:42:03,N/A,24,genitals,
LOG23_0078_2015_02_23,TRUE,,23:42:03,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:42:03,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:42:18,N/A,24,,
LOG23_0078_2015_02_23,TRUE,,23:42:19,N/A,24,,
LOG23_0078_2015_02_23,TRUE,,23:42:26,N/A,25,,
LOG23_0078_2015_02_23,TRUE,,23:42:27,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:42:31,N/A,25,,
LOG23_0078_2015_02_23,TRUE,,23:42:32,N/A,25,,
LOG23_0078_2015_02_23,TRUE,,23:42:39,N/A,26,,
LOG23_0078_2015_02_23,TRUE,,23:42:39,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:42:43,N/A,26,,
LOG23_0078_2015_02_23,TRUE,,23:42:45,N/A,26,,
LOG23_0078_2015_02_23,TRUE,,23:42:52,N/A,27,,
LOG23_0078_2015_02_23,TRUE,,23:42:52,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:42:56,N/A,27,,
LOG23_0078_2015_02_23,TRUE,,23:42:57,N/A,27,,
LOG23_0078_2015_02_23,TRUE,,23:43:03,N/A,28,,
LOG23_0078_2015_02_23,TRUE,,23:43:04,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:43:07,N/A,28,,
LOG23_0078_2015_02_23,TRUE,,23:43:08,N/A,28,,
LOG23_0078_2015_02_23,TRUE,,23:43:15,N/A,29,,
LOG23_0078_2015_02_23,TRUE,,23:43:15,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:43:20,N/A,29,,
LOG23_0078_2015_02_23,TRUE,,23:43:21,N/A,29,,
LOG23_0078_2015_02_23,TRUE,,23:43:28,N/A,30,,
LOG23_0078_2015_02_23,TRUE,,23:43:33,N/A,30,,
LOG23_0078_2015_02_23,TRUE,,23:43:34,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:43:37,N/A,30,,
LOG23_0078_2015_02_23,TRUE,,23:43:41,N/A,31,,
LOG23_0078_2015_02_23,TRUE,,23:43:41,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:43:42,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:43:45,N/A,31,,
LOG23_0078_2015_02_23,TRUE,,23:43:46,N/A,31,,
LOG23_0078_2015_02_23,TRUE,,23:43:52,N/A,32,,
LOG23_0078_2015_02_23,TRUE,,23:43:53,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:43:53,N/A,,,
LOG23_0078_2015_02_23,TRUE,,23:43:57,N/A,32,,
LOG23_0078_2015_02_23,TRUE,,23:43:58,N/A,32,,
