trial,bodyPart,condition,trialID,trialID2,exclude,bar
2,Inner thigh,point,1,1,,lo
3,Butt,point,2,2,,lo
4,Arm,point,3,3,,hi
5,Hand,touch,4,4,,hi
6,Heart,point,5,5,,lo
7,Back,point,6,6,,med
8,Mouth,point,7,,x,
9,Neck,point,8,7,,hi
10,Ear,touch,9,8,,med
11,Back of head,point,10,,x,
12,Mouth,point,11,,x,
13,Arm,touch,12,9,,hi
14,Breast,point,13,10,,lo
15,Thigh,touch,14,,x,
16,Inner thigh,touch,15,11,,lo
17,Neck,touch,16,12,,hi
18,Back,touch,17,13,,med
19,Forehead,point,18,14,,hi
20,Middle of my back,touch,19,,x,
21,Butt,touch,20,15,,lo
22,Ear,point,21,16,,med
23,Hand,point,22,17,,hi
24,Genitals,touch,23,18,,lo
25,Heart,touch,24,19,,lo
26,Forehead,touch,25,20,,hi
27,Foot,point,26,21,,med
28,Eye,point,27,22,,med
29,Genitals,point,28,23,,lo
30,Breast,touch,29,24,,lo
31,Foot,touch,30,25,,med
32,Eye,touch,31,26,,med
